🕘️更新时间,#genre#
2025-04-09 18:31:05,http://139.129.231.228/rtp/239.21.1.120:5002

📺央视频道,#genre#
CCTV-1,http://139.129.231.228/rtp/239.21.1.120:5002
CCTV-2,http://139.129.231.228/rtp/239.21.1.151:5002
CCTV-3,http://139.129.231.228/rtp/239.21.2.45:5002
CCTV-4,http://139.129.231.228/rtp/239.21.1.154:5002
CCTV-5,http://139.129.231.228/rtp/239.21.2.46:5002
CCTV-5+,http://139.129.231.228/rtp/239.21.1.142:5002
CCTV-6,http://139.129.231.228/rtp/239.21.2.47:5002
CCTV-7,http://139.129.231.228/rtp/239.21.1.152:5002
CCTV-8,http://139.129.231.228/rtp/239.21.2.48:5002
CCTV-9,http://139.129.231.228/rtp/239.21.1.153:5002
CCTV-10,http://139.129.231.228/rtp/239.21.1.155:5002
CCTV-11,http://139.129.231.228/rtp/239.21.1.12:5002
CCTV-12,http://139.129.231.228/rtp/239.21.1.156:5002
CCTV-13,http://139.129.231.228/rtp/239.21.2.3:5002
CCTV-14,http://139.129.231.228/rtp/239.21.1.157:5002
CCTV-15,http://139.129.231.228/rtp/239.21.1.16:5002
CCTV-16,http://139.129.231.228/rtp/239.21.2.51:5002
CCTV-17,http://139.129.231.228/rtp/239.21.1.186:5002
CETV1,http://139.129.231.228/rtp/239.21.2.7:5002
CETV2,http://139.129.231.228/rtp/239.21.2.8:5002
CETV4,http://139.129.231.228/rtp/239.21.1.222:5002

💰央视付费频道,#genre#

📡卫视频道,#genre#
广东卫视,http://139.129.231.228/rtp/239.21.1.92:5002
浙江卫视,http://139.129.231.228/rtp/239.21.1.90:5002
湖南卫视,http://139.129.231.228/rtp/239.21.1.158:5002
北京卫视,http://139.129.231.228/rtp/239.21.1.88:5002
湖北卫视,http://139.129.231.228/rtp/239.21.1.163:5002
黑龙江卫视,http://139.129.231.228/rtp/239.21.1.91:5002
安徽卫视,http://139.129.231.228/rtp/239.21.1.159:5002
重庆卫视,http://139.129.231.228/rtp/239.21.1.233:5002
东方卫视,http://139.129.231.228/rtp/239.21.1.111:5002
东南卫视,http://139.129.231.228/rtp/239.21.1.113:5002
甘肃卫视,http://139.129.231.228/rtp/239.21.2.22:5002
广西卫视,http://139.129.231.228/rtp/239.21.1.39:5002
贵州卫视,http://139.129.231.228/rtp/239.21.1.166:5002
海南卫视,http://139.129.231.228/rtp/239.21.2.14:5002
河北卫视,http://139.129.231.228/rtp/239.21.1.168:5002
河南卫视,http://139.129.231.228/rtp/239.21.2.37:5002
吉林卫视,http://139.129.231.228/rtp/239.21.2.49:5002
江苏卫视,http://139.129.231.228/rtp/239.21.1.89:5002
江西卫视,http://139.129.231.228/rtp/239.21.1.167:5002
辽宁卫视,http://139.129.231.228/rtp/239.21.1.164:5002
内蒙古卫视,http://139.129.231.228/rtp/239.21.1.41:5002
宁夏卫视,http://139.129.231.228/rtp/239.21.1.44:5002
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,http://139.129.231.228/rtp/239.21.1.43:5002
山东卫视,http://139.129.231.228/rtp/239.21.1.87:5002
山西卫视,http://139.129.231.228/rtp/239.21.1.33:5002
陕西卫视,http://139.129.231.228/rtp/239.21.1.30:5002
四川卫视,http://139.129.231.228/rtp/239.21.2.15:5002
深圳卫视,http://139.129.231.228/rtp/239.21.1.93:5002
三沙卫视,http://139.129.231.228/rtp/239.21.2.9:5002
天津卫视,http://139.129.231.228/rtp/239.21.1.165:5002
西藏卫视,http://139.129.231.228/rtp/239.21.1.46:5002
新疆卫视,http://139.129.231.228/rtp/239.21.1.45:5002
云南卫视,http://139.129.231.228/rtp/239.21.1.40:5002

☘️广东频道,#genre#
广东卫视,http://139.129.231.228/rtp/239.21.1.92:5002
深圳卫视,http://139.129.231.228/rtp/239.21.1.93:5002
